game_id,period,pctimestring,eventmsgtype,eventmsgactiontype,actor_id,actor_name,actor_team_id,actor_team_abbr,homedescription,visitordescription
29900841,5,2025-11-10T00:34:00.000Z,8,0,1915,Evan Eschmeyer,1610612751,NJN,,SUB: Burrell FOR Eschmeyer
29800096,4,2025-11-10T00:53:00.000Z,2,1,718,Gary Trent,1610612742,DAL,,MISS Trent 9' Jump Shot
29900023,3,2025-11-10T10:12:00.000Z,1,1,359,Chucky Brown,1610612759,SAS,Brown 21' Jump Shot (4 PTS) (Robinson 1 AST),
21801115,4,2025-11-10T07:15:00.000Z,1,5,202704,Reggie Jackson,1610612765,DET,,Jackson 2' Layup (7 PTS)
21600503,2,2025-11-10T05:18:00.000Z,1,42,201959,Taj Gibson,1610612741,CHI,Gibson 2' Driving Layup (5 PTS),
29601098,1,2025-11-10T05:56:00.000Z,2,1,53,Mario Elie,1610612745,HOU,,MISS Elie 25' 3PT Jump Shot
21100245,2,2025-11-10T07:34:00.000Z,1,3,101106,Andrew Bogut,1610612749,MIL,Bogut 6' Hook Shot (2 PTS),
21100346,3,2025-11-10T05:49:00.000Z,4,0,101131,Jason Maxiell,1610612765,DET,Maxiell REBOUND (Off:3 Def:1),
20300691,4,2025-11-10T09:23:00.000Z,4,0,2499,Richie Frahm,1610612760,SEA,Frahm REBOUND (Off:1 Def:1),
22200807,2,2025-11-10T06:50:00.000Z,2,6,1630558,Davion Mitchell,1610612758,SAC,,MISS Mitchell 2' Driving Layup
20500244,1,2025-11-10T05:08:00.000Z,1,8,2036,Chris Mihm,1610612747,LAL,Mihm  Slam Dunk (8 PTS) (Odom 3 AST),
20701208,1,2025-11-10T10:32:00.000Z,2,1,1517,Bobby Jackson,1610612745,HOU,,MISS Jackson 15' Jump Shot
21100458,4,2025-11-10T08:07:00.000Z,4,0,101145,Monta Ellis,1610612744,GSW,,Ellis REBOUND (Off:0 Def:4)
21600920,1,2025-11-10T06:28:00.000Z,8,0,1627763,Malcolm Brogdon,1610612749,MIL,SUB: Dellavedova FOR Brogdon,
21500084,3,2025-11-10T05:26:00.000Z,3,11,201158,Marco Belinelli,1610612758,SAC,MISS Belinelli Free Throw 1 of 2,
21701212,1,2025-11-10T00:39:00.000Z,8,0,202734,E'Twaun Moore,1610612740,NOP,,SUB: Rondo FOR Moore
20200131,2,2025-11-10T08:31:00.000Z,2,5,714,Michael Finley,1610612742,DAL,Williams BLOCK (1 BLK),MISS Finley  Layup
21800760,3,2025-11-10T05:01:00.000Z,4,0,203937,Kyle Anderson,1610612763,MEM,,Anderson REBOUND (Off:3 Def:2)
20401157,2,2025-11-10T10:24:00.000Z,2,1,2751,Viktor Khryapa,1610612757,POR,,MISS Khryapa 17' Jump Shot
21000935,1,2025-11-10T00:36:00.000Z,2,5,2748,Dorell Wright,1610612744,GSW,,MISS Wright 1' Layup
41200142,1,2025-11-10T01:23:00.000Z,1,1,202704,Reggie Jackson,1610612760,OKC,Jackson  3PT Jump Shot (3 PTS) (Durant 2 AST),
20700490,4,2025-11-10T02:34:00.000Z,4,0,2547,Chris Bosh,1610612761,TOR,Bosh REBOUND (Off:0 Def:3),
11500001,1,2025-11-10T09:02:00.000Z,3,11,1718,Paul Pierce,1610612746,LAC,Pierce Free Throw 1 of 2 (1 PTS),
21000459,1,2025-11-10T05:50:00.000Z,4,0,202334,Ed Davis,1610612761,TOR,,Davis REBOUND (Off:1 Def:2)
20500633,2,2025-11-10T07:12:00.000Z,1,1,2422,John Salmons,1610612755,PHI,Salmons 25' 3PT Jump Shot (7 PTS) (Ollie 1 AST),
29600005,3,2025-11-10T02:23:00.000Z,2,1,105,Dan Majerle,1610612748,MIA,MISS Majerle 24' 3PT Jump Shot,
20700602,2,2025-11-10T07:23:00.000Z,5,1,1510,Brevin Knight,1610612746,LAC,Knight Bad Pass Turnover (P1.T11),Korver STEAL (1 STL)
21800266,2,2025-11-10T11:39:00.000Z,4,0,1626246,Boban Marjanovic,1610612746,LAC,Marjanovic REBOUND (Off:2 Def:0),
20800409,3,2025-11-10T10:00:00.000Z,4,0,201142,Kevin Durant,1610612760,OKC,,Durant REBOUND (Off:2 Def:3)
20700352,4,2025-11-10T08:54:00.000Z,3,12,101127,Jarrett Jack,1610612757,POR,,Jack Free Throw 2 of 2 (10 PTS)
21300109,1,2025-11-10T10:54:00.000Z,1,1,101135,David Lee,1610612744,GSW,Lee 13' Jump Shot (2 PTS) (Bogut 1 AST),
21600995,2,2025-11-10T01:14:00.000Z,7,5,203476,Gorgui Dieng,1610612750,MIN,Dieng Violation:Kicked Ball (E.Lewis),
20301062,2,2025-11-10T08:56:00.000Z,4,0,978,Peja Stojakovic,1610612758,SAC,Stojakovic REBOUND (Off:1 Def:5),
21100633,3,2025-11-10T11:29:00.000Z,4,0,2749,Jameer Nelson,1610612753,ORL,,Nelson REBOUND (Off:0 Def:3)
21100111,1,2025-11-10T00:42:00.000Z,2,56,2563,Dahntay Jones,1610612754,IND,MISS Jones 4' Running Hook Shot,
21601052,2,2025-11-10T09:46:00.000Z,2,86,202694,Marcus Morris Sr.,1610612765,DET,,MISS Marc Morris 16' Turnaround Fadeaway Shot
21800423,1,2025-11-10T03:12:00.000Z,4,0,1627748,Thon Maker,1610612749,MIL,,Maker REBOUND (Off:0 Def:1)
29601023,2,2025-11-10T04:57:00.000Z,5,1,324,Anthony Peeler,1610612763,VAN,R. Robinson STEAL (1 STL),Peeler Bad Pass Turnover (P1.T10)
20200547,2,2025-11-10T05:03:00.000Z,2,1,2204,Eddie Griffin,1610612745,HOU,MISS Griffin 25' 3PT Jump Shot,
12100017,1,2025-11-10T06:38:00.000Z,8,0,1630175,Cole Anthony,1610612753,ORL,,SUB: Lopez FOR Anthony
20400585,2,2025-11-10T09:49:00.000Z,8,0,2584,Willie Green,1610612755,PHI,,SUB: Iverson FOR Green
20000617,2,2025-11-10T08:31:00.000Z,4,0,682,Bob Sura,1610612744,GSW,Sura REBOUND (Off:1 Def:3),
29700518,3,2025-11-10T09:14:00.000Z,2,1,57,Doug Christie,1610612761,TOR,MISS Christie  3PT Jump Shot,
20500808,4,2025-11-10T11:45:00.000Z,3,11,1889,Andre Miller,1610612743,DEN,,MISS Miller Free Throw 1 of 2
20700953,3,2025-11-10T11:11:00.000Z,4,0,1510,Brevin Knight,1610612746,LAC,,Knight REBOUND (Off:0 Def:1)
29600681,3,2025-11-10T01:50:00.000Z,6,1,324,Anthony Peeler,1610612763,VAN,,Peeler P.FOUL (P3.T2)
21000561,3,2025-11-10T06:39:00.000Z,3,11,1536,Stephen Jackson,1610612766,CHA,Jackson Free Throw 1 of 2 (3 PTS),
20900086,3,2025-11-10T07:53:00.000Z,6,2,200767,Josh Boone,1610612751,NJN,Boone S.FOUL (P2.T4),
21001118,2,2025-11-10T06:27:00.000Z,6,1,1938,Manu Ginobili,1610612759,SAS,Ginobili P.FOUL (P2.T4),
21700897,4,2025-11-10T04:02:00.000Z,4,0,203705,Josh Magette,1610612737,ATL,Magette REBOUND (Off:0 Def:1),
21300193,1,2025-11-10T07:36:00.000Z,2,1,101141,Ersan Ilyasova,1610612749,MIL,MISS Ilyasova 20' Jump Shot,
20600297,1,2025-11-10T00:56:00.000Z,3,11,1710,Mike Bibby,1610612758,SAC,Bibby Free Throw 1 of 2 (3 PTS),
20500830,1,2025-11-10T06:40:00.000Z,4,0,2547,Chris Bosh,1610612761,TOR,,Bosh REBOUND (Off:0 Def:2)
21800602,3,2025-11-10T10:28:00.000Z,2,1,201586,Serge Ibaka,1610612761,TOR,MISS Ibaka 19' Jump Shot,
20700340,2,2025-11-10T03:50:00.000Z,3,12,2746,Josh Smith,1610612737,ATL,MISS Smith Free Throw 2 of 2,
21001053,3,2025-11-10T05:33:00.000Z,2,1,101162,Marcin Gortat,1610612756,PHX,,MISS Gortat 19' Jump Shot
21700297,4,2025-11-10T06:39:00.000Z,5,37,203944,Julius Randle,1610612747,LAL,,Randle Offensive Foul Turnover (P3.T15)
21000742,4,2025-11-10T10:47:00.000Z,4,0,201586,Serge Ibaka,1610612760,OKC,,Ibaka REBOUND (Off:1 Def:2)
20600834,2,2025-11-10T09:32:00.000Z,2,1,101129,Luther Head,1610612745,HOU,,MISS Head 25' 3PT Jump Shot
20000978,4,2025-11-10T09:17:00.000Z,1,7,2033,Marcus Fizer,1610612741,CHI,,Fizer  Dunk (5 PTS) (Crawford 2 AST)
21701149,3,2025-11-10T05:53:00.000Z,1,47,1628372,Dennis Smith Jr.,1610612742,DAL,,Smith Jr. 9' Turnaround Jump Shot (11 PTS)
