token	in_clusters	overall	delta(in_clusters-overall)
1000	2	0	2
1626156	2	0	2
1710	0	3	-3
1716	2	0	2
1885	2	3	-1
200794	2	3	-1
201936	2	2	0
201950	0	2	-2
202083	0	2	-2
202331	0	3	-3
202681	0	2	-2
203076	0	2	-2
203110	0	2	-2
203613	0	2	-2
2037	0	3	-3
203897	0	2	-2
203903	1	2	-1
203952	1	0	1
203994	0	2	-2
203999	1	3	-2
204020	0	2	-2
2052	1	0	1
208	1	0	1
219	1	0	1
2229	1	0	1
2248	0	3	-3
2403	1	2	-1
248	1	0	1
2544	1	3	-2
2548	1	0	1
255	0	2	-2
2561	0	2	-2
2566	1	0	1
2575	1	2	-1
2594	0	2	-2
339	1	0	1
364	1	0	1
369	0	2	-2
436	1	0	1
467	1	2	-1
685	1	0	1
70	0	2	-2
714	1	0	1
717	1	0	1
735	1	0	1
891	1	0	1
937	1	0	1
947	0	2	-2
954	0	2	-2
959	1	2	-1
