game_id,foul_team,team_foul_count
29600062,NYK,36
29600069,SAC,31
29600075,TOR,27
29600136,GSW,22
29600194,DEN,34
29600228,MIL,23
29600296,PHX,25
29600346,WAS,25
29600364,PHX,21
29600390,DEN,20
29600429,BOS,21
29600553,MIL,26
29600555,MIN,21
29600585,NYK,31
29600612,SAC,17
29600618,ORL,17
29600676,IND,14
29600706,LAC,28
29600721,POR,26
29600794,PHI,18
29600830,DAL,27
29600840,CHH,18
29600850,CHI,14
29600874,SAS,23
29600963,WAS,16
29600996,HOU,19
29600995,CHI,17
29601060,DAL,25
29600077,SAS,32
29601116,NJN,18
29601159,DEN,19
49600046,HOU,27
29700045,ATL,20
29700060,POR,27
29700069,CHI,29
29700117,NJN,29
29700233,DEN,25
29700239,NYK,28
29700256,ORL,16
29700287,DET,28
29700318,ATL,21
29700347,HOU,19
29700387,DAL,26
29700382,CLE,28
29700484,MIN,17
29700498,ATL,29
29700597,GSW,23
29700599,NYK,26
29700618,SAS,23
29700644,MIA,28
29700670,NYK,26
29700689,DEN,27
29700697,DET,21
29700714,BOS,28
29700778,MIN,27
29600088,,3
29600203,,1
29600210,,1
29600361,,1
29600460,,1
29600874,,1
29600984,,2
29601081,,2
29601097,,1
49600030,,1
49600049,,5
29700071,,1
29700229,,1
29700415,,4
29700501,,1
29700706,,1
29600076,CHI,19
29600079,PHI,19
29600120,ATL,17
29600134,HOU,15
29600144,LAL,27
29600148,NJN,20
29600175,WAS,22
29600235,ORL,19
29600241,GSW,27
29600265,SEA,16
29600348,VAN,17
29600431,SAS,18
29600427,DAL,24
29600466,SAC,12
29600468,SAS,23
29600582,VAN,15
29600604,PHX,18
29600621,NYK,15
29600626,MIN,26
29600655,CHI,29
29600662,MIN,19
29600668,MIA,31
29600735,BOS,25
29600750,VAN,22
29600754,MIL,23
29600757,NYK,26
29600765,MIL,18
29600782,CLE,24
29600841,CLE,21
29600873,CLE,21
29600876,ATL,27
29600878,PHI,14
29600899,SEA,21
29600927,GSW,17
29600922,PHI,24
29600984,POR,23
29600988,DEN,22
29601000,SEA,31
29601001,DET,28
29601075,NYK,28
29601080,LAC,20
29600077,UTA,25
29601139,MIN,17
29601183,NJN,13
49600022,PHX,18
29700026,BOS,25
29700030,CHI,29
29700061,UTA,32
29700089,SAC,23
29700111,SAC,27
29700159,DEN,25
29700162,TOR,23
